timeStemp,Label,Dist_mm_1,Dist_mm_2,Dist_mm_3,Dist_mm_4,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Std_mm_1,Std_mm_2,Std_mm_3,Std_mm_4
665585519,1-1,3999.0,6870.0,-342.0,10518.0,-61.0,-71.0,-45.0,-64.0,1105.0,2296.0,1533.0,1031.0
665585210,1-1,4077.0,8530.0,-381.0,10713.0,-61.0,-71.0,-47.0,-64.0,1069.0,1570.0,1521.0,1073.0
665583715,1-1,3882.0,7016.0,-333.0,10557.0,-61.0,-71.0,-45.0,-64.0,1196.0,2064.0,1505.0,1003.0
665583452,1-1,4077.0,6958.0,-421.0,10635.0,-61.0,-71.0,-46.0,-65.0,1044.0,2290.0,1668.0,1154.0
665589108,1-1,4116.0,7016.0,-303.0,10479.0,-61.0,-71.0,-47.0,-64.0,1044.0,2132.0,1480.0,1013.0
665584885,1-1,3960.0,9184.0,-303.0,10518.0,-60.0,-71.0,-45.0,-64.0,1161.0,1566.0,1445.0,1182.0
665586558,1-1,4077.0,6723.0,-144.0,10635.0,-61.0,-71.0,-45.0,-65.0,1037.0,2347.0,1392.0,1069.0
665589272,1-1,4038.0,7192.0,-723.0,10400.0,-61.0,-71.0,-42.0,-64.0,1100.0,2251.0,1695.0,1055.0
665585030,1-1,3999.0,8305.0,-264.0,10635.0,-61.0,-71.0,-48.0,-64.0,1137.0,1632.0,1460.0,1131.0
665584972,1-1,4077.0,8921.0,-303.0,10635.0,-60.0,-72.0,-47.0,-64.0,994.0,1377.0,1507.0,1087.0
665585726,1-1,,,-381.0,10557.0,,,-47.0,-64.0,,,1566.0,1072.0
665589330,1-1,4155.0,6870.0,-391.0,10518.0,-61.0,-71.0,-47.0,-64.0,982.0,1726.0,1534.0,1036.0
665589672,1-1,3921.0,7007.0,-381.0,10674.0,-61.0,-70.0,-47.0,-63.0,1163.0,1271.0,1361.0,1061.0
665588186,1-1,4116.0,9272.0,-303.0,10557.0,-60.0,-71.0,-45.0,-64.0,1079.0,1302.0,1341.0,937.0
665585549,1-1,,,-381.0,,,,-47.0,,,,1507.0,
665587559,1-1,4116.0,8247.0,-26.0,10518.0,-61.0,-71.0,-43.0,-64.0,1047.0,1800.0,1325.0,1172.0
665588991,1-1,4038.0,7075.0,-460.0,10518.0,-61.0,-71.0,-47.0,-64.0,1074.0,2173.0,1559.0,1059.0
665585358,1-1,4038.0,8247.0,-303.0,10596.0,-61.0,-71.0,-47.0,-64.0,1159.0,1677.0,1499.0,972.0
665589390,1-1,4155.0,6870.0,-421.0,10479.0,-55.0,-71.0,-47.0,-64.0,1652.0,2154.0,1568.0,998.0
665588976,1-1,3999.0,7514.0,-154.0,10440.0,-60.0,-71.0,-48.0,-64.0,1075.0,2093.0,1427.0,1112.0
665588958,1-1,3999.0,8159.0,-421.0,10518.0,-61.0,-71.0,-48.0,-64.0,1091.0,1774.0,1525.0,1085.0
665586088,1-1,4233.0,8276.0,-381.0,10557.0,-61.0,-71.0,-47.0,-63.0,1025.0,1773.0,1506.0,1098.0
665584900,1-1,3960.0,8364.0,-342.0,10635.0,-60.0,-72.0,-47.0,-62.0,1113.0,1703.0,1499.0,1261.0
