Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
Only_RTT_1,29.2517,2.1848,13.9456,2.3525,"[42, 6767, 123456]"
Only_RTT_2,30.7143,2.0380,11.2925,2.4782,"[42, 6767, 123456]"
Only_RTT_3,34.0476,1.7847,14.3537,2.5763,"[42, 6767, 123456]"
Only_RTT_4,20.0340,2.4681,9.8980,2.7683,"[42, 6767, 123456]"
Only_RTT_1_2,76.2925,0.5849,20.8503,1.8413,"[42, 6767, 123456]"
Only_RTT_1_3,76.1565,0.3558,34.6259,1.0826,"[42, 6767, 123456]"
Only_RTT_1_4,83.8095,0.3135,30.6463,1.0269,"[42, 6767, 123456]"
Only_RTT_2_3,80.1361,0.2844,31.6327,0.9936,"[42, 6767, 123456]"
Only_RTT_2_4,79.5238,0.3612,21.1905,1.1437,"[42, 6767, 123456]"
Only_RTT_3_4,68.0272,1.0386,18.8776,2.7214,"[42, 6767, 123456]"
Only_RTT_1_2_3,92.6190,0.0901,32.3810,0.8801,"[42, 6767, 123456]"
Only_RTT_1_2_4,97.2449,0.0338,28.8095,0.8764,"[42, 6767, 123456]"
Only_RTT_1_3_4,94.6599,0.0887,31.1565,1.0708,"[42, 6767, 123456]"
Only_RTT_2_3_4,95.2041,0.0730,28.9116,0.9241,"[42, 6767, 123456]"
Only_RTT_1_2_3_4,97.4830,0.0266,29.7959,0.8312,"[42, 6767, 123456]"

// 2026/1/2
Fusion_RTT_1,97.8571,0.0375,15.5102,1.3074,"[42, 6767, 123456]"
Fusion_RTT_2,97.5170,0.0384,14.4218,1.5150,"[42, 6767, 123456]"
Fusion_RTT_3,96.2245,0.0668,13.9456,1.6091,"[42, 6767, 123456]"
Fusion_RTT_4,97.3810,0.0457,15.6122,1.6183,"[42, 6767, 123456]"
Fusion_RTT_1_2,98.9116,0.0161,19.4898,1.3315,"[42, 6767, 123456]"
Fusion_RTT_1_3,98.0952,0.0312,20.6803,1.2645,"[42, 6767, 123456]"
Fusion_RTT_1_4,98.8095,0.0188,18.6395,1.3935,"[42, 6767, 123456]"
Fusion_RTT_2_3,98.3673,0.0199,20.2721,1.2404,"[42, 6767, 123456]"
Fusion_RTT_2_4,98.6054,0.0160,20.9524,1.3398,"[42, 6767, 123456]"
Fusion_RTT_3_4,97.7891,0.0362,21.7007,1.6194,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,99.2177,0.0110,26.5646,1.0918,"[42, 6767, 123456]"
Fusion_RTT_1_2_4,99.2857,0.0085,24.0816,1.0736,"[42, 6767, 123456]"
Fusion_RTT_1_3_4,98.7755,0.0170,24.3878,1.2108,"[42, 6767, 123456]"
Fusion_RTT_2_3_4,98.7075,0.0158,28.3333,1.1199,"[42, 6767, 123456]"
Fusion_RTT_1_2_3_4,99.2177,0.0099,31.5646,1.0129,"[42, 6767, 123456]"
Only_RTT_1,33.1973,2.1358,12.2449,2.6437,"[42, 6767, 123456]"
Only_RTT_2,33.5034,2.0061,15.7823,2.3987,"[42, 6767, 123456]"
Only_RTT_3,28.1973,2.0223,19.0816,2.5381,"[42, 6767, 123456]"
Only_RTT_4,25.2041,2.3084,9.7279,2.8040,"[42, 6767, 123456]"
Only_RTT_1_2,80.8163,0.4795,25.1361,1.9045,"[42, 6767, 123456]"
Only_RTT_1_3,73.0612,0.4115,35.9524,1.1822,"[42, 6767, 123456]"
Only_RTT_1_4,83.8095,0.3177,29.2517,1.1867,"[42, 6767, 123456]"
Only_RTT_2_3,70.0000,0.4247,34.8639,0.9840,"[42, 6767, 123456]"
Only_RTT_2_4,80.4082,0.3522,33.3673,1.0551,"[42, 6767, 123456]"
Only_RTT_3_4,68.7415,1.0315,20.0340,2.6229,"[42, 6767, 123456]"
Only_RTT_1_2_3,91.6327,0.1103,34.5238,0.9630,"[42, 6767, 123456]"
Only_RTT_1_2_4,96.3605,0.0448,32.5170,0.8186,"[42, 6767, 123456]"
Only_RTT_1_3_4,94.0476,0.0958,36.9048,1.0214,"[42, 6767, 123456]"
Only_RTT_2_3_4,93.9116,0.0805,39.7959,0.8713,"[42, 6767, 123456]"
Only_RTT_1_2_3_4,97.7211,0.0274,40.9524,0.7981,"[42, 6767, 123456]"
Only_RTT_1,18.8435,2.4779,9.2177,2.6156,"[42, 6767, 123456]"
Only_RTT_2,17.7551,2.5562,10.4762,2.7333,"[42, 6767, 123456]"
Only_RTT_3,18.2993,2.3510,14.4218,2.3040,"[42, 6767, 123456]"
Only_RTT_4,21.9728,2.3495,8.9796,2.5107,"[42, 6767, 123456]"
Only_RTT_1_2,49.7959,1.2386,26.6327,1.7640,"[42, 6767, 123456]"
Only_RTT_1_3,51.0204,0.7177,26.5986,0.9577,"[42, 6767, 123456]"
Only_RTT_1_4,56.1565,0.6657,24.0476,1.0777,"[42, 6767, 123456]"
Only_RTT_2_3,55.2041,0.6488,32.2449,0.9149,"[42, 6767, 123456]"
Only_RTT_2_4,55.5782,0.6990,18.2313,1.1410,"[42, 6767, 123456]"
Only_RTT_3_4,53.1633,1.3614,17.7211,2.3635,"[42, 6767, 123456]"
Only_RTT_1_2_3,69.7279,0.4407,37.3810,0.7689,"[42, 6767, 123456]"
Only_RTT_1_2_4,72.2109,0.3511,33.1973,0.8583,"[42, 6767, 123456]"
Only_RTT_1_3_4,74.7279,0.3940,31.4626,0.9482,"[42, 6767, 123456]"
Only_RTT_2_3_4,74.8299,0.3782,28.1293,0.9663,"[42, 6767, 123456]"
Only_RTT_1_2_3_4,82.7891,0.2268,34.8980,0.8023,"[42, 6767, 123456]"
Fusion_RTT_1,86.7687,0.2358,26.2585,1.2583,"[42, 6767, 123456]"
Fusion_RTT_2,83.9116,0.2799,22.2449,1.5738,"[42, 6767, 123456]"
Fusion_RTT_3,82.9932,0.2810,22.4830,1.4890,"[42, 6767, 123456]"
Fusion_RTT_4,86.6667,0.2375,18.8095,1.4866,"[42, 6767, 123456]"
Fusion_RTT_1_2,91.6667,0.1396,29.2177,1.1719,"[42, 6767, 123456]"
Fusion_RTT_1_3,91.8367,0.1525,27.8912,1.2343,"[42, 6767, 123456]"
Fusion_RTT_1_4,90.9524,0.1405,24.3878,1.2910,"[42, 6767, 123456]"
Fusion_RTT_2_3,91.8027,0.1207,21.7687,1.4165,"[42, 6767, 123456]"
Fusion_RTT_2_4,91.8707,0.1225,23.3673,1.3302,"[42, 6767, 123456]"
Fusion_RTT_3_4,90.9184,0.1664,22.3810,1.5248,"[42, 6767, 123456]"
Fusion_RTT_1_2_3,90.6803,0.1281,26.7687,1.1361,"[42, 6767, 123456]"
Fusion_RTT_1,86.7687,0.2358,26.2585,1.2583,"[42, 6767, 123456]"
Fusion_RTT_2,83.9116,0.2799,22.2449,1.5738,"[42, 6767, 123456]"
Fusion_RTT_1,97.9592,0.0346,26.1565,1.2118,"[42, 6767, 123456]"
