Mode: Fusion | Features: RSSI(4) + RTT(4)
Model Input Dimension: 8
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
126    | 5.0424     | 0.4099     | 4.1223     | 0.3687     | 0.1415     | 0.0754       | 0.1981       |             | 0.8128   | 0.274  
127    | 5.0526     | 0.4005     | 4.1359     | 0.3774     | 0.1389     | 0.0894       | 0.1683       |             | 0.7791   | 0.258  
128    | 4.9263     | 0.4235     | 4.0093     | 0.3506     | 0.1430     | 0.0710       | 0.1605       |             | 0.8106   | 0.232  
129    | 4.6802     | 0.3762     | 3.8247     | 0.3421     | 0.1372     | 0.0604       | 0.1234       |             | 0.7632   | 0.184  
130    | 4.7733     | 0.3955     | 3.9065     | 0.3386     | 0.1326     | 0.0735       | 0.1176       |             | 0.7914   | 0.191  
131    | 5.0015     | 0.3933     | 4.1142     | 0.3540     | 0.1400     | 0.0812       | 0.1338       |             | 0.7793   | 0.215  
132    | 4.9896     | 0.3776     | 4.0989     | 0.3697     | 0.1434     | 0.0824       | 0.1283       |             | 0.7609   | 0.211  
133    | 4.9170     | 0.3993     | 4.0431     | 0.3386     | 0.1359     | 0.0882       | 0.1748       |             | 0.8050   | 0.263  
134    | 4.9933     | 0.3896     | 4.1142     | 0.3505     | 0.1390     | 0.0670       | 0.1797       |             | 0.8758   | 0.247  
135    | 5.0312     | 0.3712     | 4.1586     | 0.3597     | 0.1418     | 0.0692       | 0.1728       |             | 0.7531   | 0.242  
136    | 4.9521     | 0.3785     | 4.1031     | 0.3339     | 0.1367     | 0.0817       | 0.1622       |             | 0.8014   | 0.244  
137    | 4.8309     | 0.3346     | 4.0343     | 0.3313     | 0.1307     | 0.0728       | 0.1659       |             | 0.7742   | 0.239  
138    | 4.9844     | 0.3766     | 4.1288     | 0.3432     | 0.1359     | 0.0686       | 0.1515       |             | 0.7752   | 0.220  
139    | 5.3229     | 0.4305     | 4.3705     | 0.3751     | 0.1468     | 0.0872       | 0.1535       |             | 0.7711   | 0.241  
140    | 4.9215     | 0.3577     | 4.0888     | 0.3323     | 0.1428     | 0.0616       | 0.1517       |             | 0.7419   | 0.213  
141    | 5.0688     | 0.3749     | 4.1922     | 0.3556     | 0.1461     | 0.0931       | 0.2120       |             | 0.7689   | 0.305  
142    | 5.1560     | 0.3888     | 4.2578     | 0.3581     | 0.1513     | 0.0872       | 0.1585       |             | 0.7333   | 0.246  
143    | 5.1469     | 0.3579     | 4.2995     | 0.3412     | 0.1483     | 0.0815       | 0.1586       |             | 0.7850   | 0.240  
144    | 5.1794     | 0.3921     | 4.2918     | 0.3465     | 0.1490     | 0.0763       | 0.1336       |             | 0.7756   | 0.210  
145    | 5.1666     | 0.4219     | 4.2349     | 0.3480     | 0.1619     | 0.0842       | 0.1361       |             | 0.7417   | 0.220  
146    | 4.9084     | 0.3488     | 4.0710     | 0.3335     | 0.1550     | 0.0754       | 0.1451       |             | 0.7744   | 0.221  
147    | 4.8170     | 0.3531     | 4.0017     | 0.3106     | 0.1515     | 0.0700       | 0.1534       |             | 0.7424   | 0.223  
148    | 4.7411     | 0.3447     | 3.9295     | 0.3203     | 0.1465     | 0.0687       | 0.1313       |             | 0.7589   | 0.200  
149    | 4.7821     | 0.3668     | 3.9779     | 0.2862     | 0.1511     | 0.0685       | 0.1183       |             | 0.7652   | 0.187  
150    | 4.9630     | 0.3774     | 4.1134     | 0.3197     | 0.1524     | 0.0706       | 0.1415       |             | 0.7502   | 0.212  
151    | 5.0545     | 0.3829     | 4.1896     | 0.3247     | 0.1573     | 0.0691       | 0.1313       |             | 0.7500   | 0.200  
152    | 4.9029     | 0.3463     | 4.0962     | 0.3101     | 0.1503     | 0.0828       | 0.1264       |             | 0.7580   | 0.209  
153    | 4.9235     | 0.3465     | 4.1064     | 0.3223     | 0.1484     | 0.0636       | 0.1253       |             | 0.7575   | 0.189  
