==========================================
Experiment: FusionDANN_1_2_3_4
RSSI Features (6): Fixed
RTT Features (4): ['Dist_mm_1', 'Dist_mm_2', 'Dist_mm_3', 'Dist_mm_4']
==========================================
Start Training Seed 42...

Start Training... (Validate on Source Val & Target Val)
Epoch  | Total Loss | Train Cls  | Train D_RSSI | Train D_RTT | Val S Acc  | Val T Entropy | Save        | Test MDE | Score  
105    | 2.7005     | 0.3024     | 1.2127       | 1.1854      | 0.9927     | 0.7681     |             | 0.8667   | 0.609  
106    | 2.6567     | 0.2702     | 1.2047       | 1.1818      | 0.9938     | 0.7667     |             | 0.9406   | 0.610  
107    | 2.6934     | 0.2823     | 1.2464       | 1.1647      | 0.9938     | 0.7161     | (ADV 0.64)  | 0.8967   | 0.636  
108    | 2.6716     | 0.2687     | 1.2496       | 1.1532      | 0.9927     | 0.7157     |             | 0.9111   | 0.635  
109    | 2.7141     | 0.2863     | 1.2505       | 1.1773      | 0.9906     | 0.7018     | (ADV 0.64)  | 0.8868   | 0.640  
110    | 2.6951     | 0.2870     | 1.2333       | 1.1748      | 0.9927     | 0.7145     |             | 0.9239   | 0.635  
111    | 2.6322     | 0.2571     | 1.2326       | 1.1426      | 0.9948     | 0.6994     | (ADV 0.65)  | 0.9096   | 0.645  
112    | 2.6346     | 0.2581     | 1.2185       | 1.1580      | 0.9927     | 0.7003     |             | 0.8988   | 0.643  
113    | 2.6698     | 0.2592     | 1.2074       | 1.2032      | 0.9927     | 0.6881     | (ADV 0.65)  | 0.8272   | 0.649  
114    | 2.6070     | 0.2529     | 1.1712       | 1.1829      | 0.9948     | 0.7328     |             | 0.9224   | 0.628  
115    | 2.6480     | 0.2566     | 1.1765       | 1.2148      | 0.9927     | 0.6911     |             | 0.8446   | 0.647  
116    | 2.6759     | 0.2756     | 1.1940       | 1.2063      | 0.9927     | 0.7056     |             | 0.8915   | 0.640  
117    | 2.6638     | 0.2772     | 1.1936       | 1.1929      | 0.9948     | 0.6898     | (ADV 0.65)  | 0.9188   | 0.650  
118    | 2.6519     | 0.2656     | 1.1685       | 1.2179      | 0.9938     | 0.6573     | (ADV 0.67)  | 0.9301   | 0.665  
119    | 2.6476     | 0.2465     | 1.1867       | 1.2145      | 0.9917     | 0.6934     |             | 0.9215   | 0.645  
120    | 2.6914     | 0.2828     | 1.1940       | 1.2145      | 0.9917     | 0.7211     |             | 0.8294   | 0.631  
121    | 2.6308     | 0.2529     | 1.2058       | 1.1721      | 0.9927     | 0.7108     |             | 0.8633   | 0.637  
122    | 2.6556     | 0.2516     | 1.2225       | 1.1815      | 0.9927     | 0.6770     |             | 0.9127   | 0.654  
123    | 2.6008     | 0.2454     | 1.2196       | 1.1358      | 0.9938     | 0.7125     |             | 0.9408   | 0.637  
124    | 2.6696     | 0.2508     | 1.2572       | 1.1616      | 0.9906     | 0.7232     |             | 0.9261   | 0.629  
125    | 2.6504     | 0.2434     | 1.2339       | 1.1731      | 0.9906     | 0.6879     |             | 0.9283   | 0.647  
126    | 2.6465     | 0.2677     | 1.1897       | 1.1892      | 0.9906     | 0.7058     |             | 0.9352   | 0.638  
127    | 2.6288     | 0.2432     | 1.1971       | 1.1885      | 0.9927     | 0.6370     | (ADV 0.67)  | 0.8730   | 0.674  
128    | 2.5397     | 0.2265     | 1.1576       | 1.1556      | 0.9927     | 0.6258     | (ADV 0.68)  | 0.9216   | 0.680  
129    | 2.5979     | 0.2487     | 1.1462       | 1.2030      | 0.9938     | 0.6619     |             | 0.9805   | 0.663  
130    | 2.6159     | 0.2499     | 1.1594       | 1.2065      | 0.9917     | 0.6517     |             | 0.8366   | 0.666  
131    | 2.5808     | 0.2311     | 1.1576       | 1.1921      | 0.9927     | 0.6272     |             | 0.8957   | 0.679  
132    | 2.6491     | 0.2516     | 1.1817       | 1.2158      | 0.9958     | 0.6295     | (ADV 0.68)  | 0.9314   | 0.681  
133    | 2.5763     | 0.2254     | 1.1530       | 1.1979      | 0.9927     | 0.5981     | (ADV 0.69)  | 0.8953   | 0.694  
134    | 2.6268     | 0.2465     | 1.1811       | 1.1993      | 0.9948     | 0.6488     |             | 0.9571   | 0.670  
135    | 2.6391     | 0.2547     | 1.1977       | 1.1868      | 0.9927     | 0.6654     |             | 0.9098   | 0.660  
136    | 2.6247     | 0.2538     | 1.2017       | 1.1692      | 0.9948     | 0.6777     |             | 0.8796   | 0.656  
137    | 2.6234     | 0.2484     | 1.2092       | 1.1658      | 0.9927     | 0.6831     |             | 0.8694   | 0.651  
138    | 2.6590     | 0.2576     | 1.2416       | 1.1599      | 0.9927     | 0.6730     |             | 0.9512   | 0.656  
139    | 2.6799     | 0.2404     | 1.2668       | 1.1727      | 0.9917     | 0.6693     |             | 0.9039   | 0.657  
140    | 2.7010     | 0.2601     | 1.2683       | 1.1726      | 0.9927     | 0.6416     |             | 0.8802   | 0.672  
141    | 2.6913     | 0.2449     | 1.2901       | 1.1563      | 0.9896     | 0.6686     |             | 0.8931   | 0.655  
142    | 2.6913     | 0.2475     | 1.2783       | 1.1655      | 0.9896     | 0.6717     |             | 0.9121   | 0.654  
143    | 2.6394     | 0.2184     | 1.2747       | 1.1463      | 0.9927     | 0.6164     |             | 0.8832   | 0.684  
144    | 2.7272     | 0.2533     | 1.3034       | 1.1705      | 0.9948     | 0.6370     |             | 0.8762   | 0.676  
145    | 2.6856     | 0.2288     | 1.2902       | 1.1667      | 0.9927     | 0.5916     | (ADV 0.70)  | 0.8268   | 0.697  
146    | 2.6997     | 0.2537     | 1.2782       | 1.1677      | 0.9917     | 0.6518     |             | 0.8441   | 0.666  
147    | 2.6647     | 0.2316     | 1.2485       | 1.1846      | 0.9948     | 0.5896     | (ADV 0.70)  | 0.8195   | 0.700  
148    | 2.6908     | 0.2454     | 1.2668       | 1.1786      | 0.9938     | 0.6044     |             | 0.8505   | 0.692  
149    | 2.6221     | 0.2148     | 1.2470       | 1.1602      | 0.9927     | 0.6361     |             | 0.8556   | 0.675  
150    | 2.6789     | 0.2538     | 1.2607       | 1.1644      | 0.9917     | 0.6599     |             | 0.8808   | 0.662  
151    | 2.6317     | 0.2200     | 1.2531       | 1.1587      | 0.9927     | 0.6288     |             | 0.8907   | 0.678  
152    | 2.6022     | 0.2347     | 1.2084       | 1.1591      | 0.9917     | 0.6206     |             | 0.7912   | 0.681  
153    | 2.6193     | 0.2154     | 1.2218       | 1.1821      | 0.9948     | 0.6404     |             | 0.8947   | 0.675  
