Combo,Avg_Src_Acc,Avg_Src_MDE,Avg_Tgt_Acc,Avg_Tgt_MDE,Seeds_Detail
DNN_Only_RTT_2,38.5091,1.8638,15.9751,2.5869,"[42, 6767, 123456]"
DNN_Only_RTT_3,42.4206,1.6777,21.6553,2.3244,"[42, 6767, 123456]"
DNN_Only_RTT_4,40.9977,1.9164,9.4388,2.7308,"[42, 6767, 123456]"
DNN_Only_RTT_1_2,85.1020,0.3715,26.1281,1.7337,"[42, 6767, 123456]"
DNN_Only_RTT_1_3,83.2313,0.2618,30.8957,1.3041,"[42, 6767, 123456]"
DNN_Only_RTT_1_4,89.9603,0.1941,27.9252,1.2522,"[42, 6767, 123456]"
DNN_Only_RTT_2_3,85.3458,0.2057,38.7415,1.0043,"[42, 6767, 123456]"
DNN_Only_RTT_2_4,88.7528,0.2051,31.4172,1.0901,"[42, 6767, 123456]"
DNN_Only_RTT_3_4,79.6769,0.7047,18.7472,2.5331,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3,94.7506,0.0655,37.8231,0.8811,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_4,97.8628,0.0276,33.5658,0.8158,"[42, 6767, 123456]"
DNN_Only_RTT_1_3_4,95.5102,0.0747,32.8741,1.1673,"[42, 6767, 123456]"
DNN_Only_RTT_2_3_4,96.8991,0.0465,37.8628,0.8913,"[42, 6767, 123456]"
DNN_Only_RTT_1_2_3_4,98.6338,0.0163,39.6429,0.8016,"[42, 6767, 123456]"
