Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
118    | 4.5597     | 0.4239     | 3.6768     | 0.3627     | 0.0963     | 0.0561       | 0.1645       | (saved)     | 0.8494   | 0.221  
119    | 4.7368     | 0.4392     | 3.8397     | 0.3624     | 0.0955     | 0.0489       | 0.1825       |             | 0.8701   | 0.231  
120    | 5.1952     | 0.4721     | 4.2424     | 0.3814     | 0.0994     | 0.0646       | 0.1965       |             | 0.9004   | 0.261  
121    | 5.3511     | 0.4950     | 4.3547     | 0.4012     | 0.1002     | 0.0783       | 0.2025       |             | 0.9099   | 0.281  
122    | 5.2100     | 0.4345     | 4.2766     | 0.3991     | 0.0999     | 0.0824       | 0.1841       |             | 0.9497   | 0.267  
123    | 5.1118     | 0.4609     | 4.1619     | 0.3851     | 0.1039     | 0.0672       | 0.1830       |             | 0.9714   | 0.250  
124    | 4.8451     | 0.4715     | 3.9127     | 0.3605     | 0.1004     | 0.1041       | 0.1790       |             | 0.9225   | 0.283  
125    | 4.7709     | 0.4702     | 3.8505     | 0.3516     | 0.0986     | 0.0892       | 0.1709       |             | 0.9265   | 0.260  
126    | 5.1276     | 0.5314     | 4.0969     | 0.3928     | 0.1064     | 0.1229       | 0.2023       |             | 0.9980   | 0.325  
127    | 5.1223     | 0.4597     | 4.1613     | 0.3987     | 0.1026     | 0.0786       | 0.2256       |             | 0.9642   | 0.304  
128    | 5.2181     | 0.4680     | 4.2503     | 0.3939     | 0.1060     | 0.0833       | 0.2096       |             | 0.9570   | 0.293  
129    | 5.0153     | 0.4882     | 4.0533     | 0.3669     | 0.1068     | 0.0751       | 0.1996       |             | 0.9423   | 0.275  
130    | 5.1854     | 0.5058     | 4.1966     | 0.3729     | 0.1101     | 0.0820       | 0.1810       |             | 0.9818   | 0.263  
131    | 5.2905     | 0.5175     | 4.2485     | 0.4110     | 0.1134     | 0.0944       | 0.1759       |             | 0.9225   | 0.270  
132    | 5.0422     | 0.4726     | 4.0992     | 0.3574     | 0.1130     | 0.0826       | 0.1955       |             | 0.9358   | 0.278  
133    | 5.0937     | 0.4533     | 4.1634     | 0.3641     | 0.1129     | 0.0793       | 0.2031       |             | 0.8285   | 0.282  
134    | 4.9338     | 0.4618     | 4.0053     | 0.3535     | 0.1132     | 0.0814       | 0.2091       |             | 0.9035   | 0.290  
135    | 4.6780     | 0.4600     | 3.7711     | 0.3336     | 0.1133     | 0.0821       | 0.1819       |             | 0.9376   | 0.264  
136    | 4.6556     | 0.4541     | 3.7532     | 0.3346     | 0.1137     | 0.0907       | 0.1850       |             | 0.9448   | 0.276  
137    | 4.8742     | 0.4811     | 3.9150     | 0.3643     | 0.1138     | 0.0742       | 0.1441       | (saved)     | 0.9186   | 0.218  
138    | 4.6194     | 0.4399     | 3.7341     | 0.3309     | 0.1144     | 0.0776       | 0.1561       |             | 0.9310   | 0.234  
139    | 4.5924     | 0.4162     | 3.7442     | 0.3199     | 0.1121     | 0.0862       | 0.1585       |             | 0.9101   | 0.245  
140    | 4.7225     | 0.4134     | 3.8379     | 0.3504     | 0.1208     | 0.0822       | 0.1880       |             | 0.9331   | 0.270  
141    | 5.0317     | 0.4823     | 4.0611     | 0.3674     | 0.1209     | 0.0679       | 0.2219       |             | 0.9231   | 0.290  
142    | 5.0112     | 0.4794     | 4.0358     | 0.3768     | 0.1192     | 0.0862       | 0.1862       |             | 0.9405   | 0.272  
143    | 4.8913     | 0.4337     | 3.9858     | 0.3534     | 0.1184     | 0.0713       | 0.2202       |             | 0.9220   | 0.292  
144    | 4.8900     | 0.4849     | 3.9432     | 0.3466     | 0.1153     | 0.1072       | 0.1762       |             | 0.9285   | 0.283  
145    | 4.7278     | 0.4456     | 3.8076     | 0.3561     | 0.1185     | 0.0726       | 0.1994       |             | 0.8971   | 0.272  
146    | 5.3305     | 0.4878     | 4.3155     | 0.3981     | 0.1291     | 0.0753       | 0.1929       |             | 0.9826   | 0.268  
147    | 5.3221     | 0.4818     | 4.3071     | 0.4004     | 0.1327     | 0.0822       | 0.1990       |             | 0.9422   | 0.281  
148    | 5.2189     | 0.4764     | 4.2209     | 0.3876     | 0.1340     | 0.0747       | 0.2241       |             | 0.9893   | 0.299  
149    | 5.1635     | 0.4252     | 4.2321     | 0.3749     | 0.1313     | 0.0876       | 0.2067       |             | 1.0185   | 0.294  
150    | 5.0767     | 0.4318     | 4.1473     | 0.3692     | 0.1284     | 0.0725       | 0.1945       |             | 0.8908   | 0.267  
151    | 4.9734     | 0.4406     | 4.0457     | 0.3600     | 0.1272     | 0.0606       | 0.1820       |             | 0.9586   | 0.243  
152    | 4.9445     | 0.4621     | 4.0014     | 0.3498     | 0.1312     | 0.0528       | 0.1821       |             | 0.9505   | 0.235  
153    | 5.0198     | 0.4750     | 4.0778     | 0.3425     | 0.1245     | 0.0627       | 0.1938       |             | 1.0106   | 0.256  
154    | 4.9477     | 0.4006     | 4.0778     | 0.3430     | 0.1263     | 0.0562       | 0.1623       |             | 0.9580   | 0.218  
155    | 5.1672     | 0.4751     | 4.2052     | 0.3576     | 0.1293     | 0.0868       | 0.1548       |             | 0.9126   | 0.242  
156    | 5.2042     | 0.4417     | 4.2740     | 0.3568     | 0.1318     | 0.0677       | 0.1715       |             | 0.9514   | 0.239  
157    | 4.9932     | 0.4143     | 4.1071     | 0.3415     | 0.1303     | 0.0908       | 0.1628       |             | 0.9283   | 0.254  
158    | 5.2165     | 0.4453     | 4.3003     | 0.3417     | 0.1292     | 0.0777       | 0.1426       |             | 0.9659   | 0.220  
159    | 5.0461     | 0.3955     | 4.1832     | 0.3397     | 0.1278     | 0.0786       | 0.1606       |             | 0.8885   | 0.239  
160    | 5.0758     | 0.4295     | 4.1609     | 0.3518     | 0.1336     | 0.0792       | 0.1988       |             | 1.0325   | 0.278  
161    | 5.2050     | 0.4465     | 4.2696     | 0.3592     | 0.1297     | 0.0632       | 0.1417       | (saved)     | 0.9863   | 0.205  
162    | 5.3622     | 0.4763     | 4.3793     | 0.3666     | 0.1399     | 0.0630       | 0.1962       |             | 1.0459   | 0.259  
163    | 5.2209     | 0.4308     | 4.2893     | 0.3697     | 0.1312     | 0.0653       | 0.1940       |             | 1.0033   | 0.259  
164    | 5.0897     | 0.4300     | 4.1749     | 0.3492     | 0.1356     | 0.0582       | 0.1957       |             | 0.9632   | 0.254  
165    | 5.1836     | 0.4257     | 4.2686     | 0.3514     | 0.1379     | 0.0821       | 0.1765       |             | 0.9857   | 0.259  
166    | 5.2281     | 0.4709     | 4.2602     | 0.3497     | 0.1473     | 0.0826       | 0.1716       |             | 0.9572   | 0.254  
167    | 5.1450     | 0.4507     | 4.2035     | 0.3488     | 0.1421     | 0.0881       | 0.1580       |             | 0.9588   | 0.246  
168    | 5.2551     | 0.4501     | 4.3088     | 0.3525     | 0.1436     | 0.0552       | 0.1550       |             | 0.9451   | 0.210  
169    | 5.4138     | 0.4782     | 4.4300     | 0.3586     | 0.1471     | 0.1025       | 0.1658       |             | 0.9639   | 0.268  
170    | 5.0624     | 0.4290     | 4.1468     | 0.3352     | 0.1513     | 0.0774       | 0.1481       |             | 0.9497   | 0.226  
171    | 4.9512     | 0.4580     | 4.0119     | 0.3411     | 0.1401     | 0.0492       | 0.1792       |             | 0.9402   | 0.228  
172    | 4.8662     | 0.4820     | 3.9148     | 0.3353     | 0.1340     | 0.0614       | 0.1779       |             | 0.9583   | 0.239  
173    | 4.7883     | 0.4003     | 3.9348     | 0.3142     | 0.1390     | 0.0562       | 0.1401       | (saved)     | 0.9599   | 0.196  
174    | 4.9143     | 0.4007     | 4.0362     | 0.3355     | 0.1419     | 0.0691       | 0.1415       |             | 0.9575   | 0.211  
175    | 5.2288     | 0.4433     | 4.3086     | 0.3315     | 0.1455     | 0.0693       | 0.1239       | (saved)     | 0.9212   | 0.193  
176    | 5.1188     | 0.4608     | 4.1855     | 0.3330     | 0.1395     | 0.1285       | 0.1384       |             | 1.0218   | 0.267  
177    | 5.1911     | 0.4809     | 4.2415     | 0.3311     | 0.1376     | 0.0560       | 0.1620       |             | 0.9930   | 0.218  
178    | 5.0284     | 0.4123     | 4.1641     | 0.3219     | 0.1301     | 0.0685       | 0.1613       |             | 0.9992   | 0.230  
179    | 5.2033     | 0.4215     | 4.3261     | 0.3196     | 0.1360     | 0.0583       | 0.1558       |             | 0.9652   | 0.214  
180    | 5.2328     | 0.4540     | 4.3137     | 0.3253     | 0.1397     | 0.0923       | 0.1427       |             | 0.9903   | 0.235  
181    | 5.1577     | 0.4588     | 4.2367     | 0.3167     | 0.1454     | 0.0534       | 0.1768       |             | 0.9079   | 0.230  
182    | 4.9053     | 0.4116     | 4.0395     | 0.3140     | 0.1402     | 0.0658       | 0.1758       |             | 0.8980   | 0.242  
183    | 4.9770     | 0.4300     | 4.0956     | 0.3109     | 0.1404     | 0.0497       | 0.1994       |             | 0.9068   | 0.249  
184    | 5.0731     | 0.4111     | 4.2035     | 0.3232     | 0.1353     | 0.0582       | 0.1628       |             | 0.8948   | 0.221  
185    | 5.0430     | 0.4400     | 4.1398     | 0.3266     | 0.1366     | 0.0630       | 0.1578       |             | 0.9457   | 0.221  
186    | 4.9374     | 0.4135     | 4.0586     | 0.3306     | 0.1347     | 0.0402       | 0.1408       | (saved)     | 0.8927   | 0.181  
187    | 4.7526     | 0.3886     | 3.9311     | 0.3018     | 0.1311     | 0.0777       | 0.1525       |             | 0.8917   | 0.230  
188    | 4.9214     | 0.4185     | 4.0500     | 0.3158     | 0.1372     | 0.0534       | 0.1520       |             | 0.9112   | 0.205  
189    | 5.1058     | 0.4440     | 4.1952     | 0.3231     | 0.1436     | 0.0648       | 0.1400       |             | 0.9319   | 0.205  
190    | 5.1213     | 0.4693     | 4.1744     | 0.3330     | 0.1446     | 0.0625       | 0.1522       |             | 1.0906   | 0.215  
191    | 5.0081     | 0.3941     | 4.1576     | 0.3167     | 0.1398     | 0.0682       | 0.1558       |             | 1.0449   | 0.224  
192    | 4.8887     | 0.4044     | 4.0426     | 0.3048     | 0.1368     | 0.0715       | 0.1281       |             | 0.9746   | 0.200  
193    | 4.9358     | 0.3957     | 4.1024     | 0.3012     | 0.1366     | 0.0588       | 0.1532       |             | 0.9222   | 0.212  
194    | 5.2887     | 0.4461     | 4.3732     | 0.3302     | 0.1393     | 0.0807       | 0.1666       |             | 0.9687   | 0.247  
195    | 5.2650     | 0.4285     | 4.3665     | 0.3295     | 0.1405     | 0.0693       | 0.1252       |             | 0.9360   | 0.195  
196    | 5.0895     | 0.4500     | 4.1867     | 0.3123     | 0.1406     | 0.0504       | 0.1434       |             | 0.9597   | 0.194  
197    | 4.8675     | 0.3909     | 4.0396     | 0.2989     | 0.1381     | 0.0582       | 0.1339       |             | 0.9798   | 0.192  
198    | 4.8779     | 0.3884     | 4.0601     | 0.2944     | 0.1351     | 0.0773       | 0.1312       |             | 0.9179   | 0.208  
