Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
143    | 5.6854     | 0.6775     | 4.4691     | 0.4588     | 0.0800     | 0.1499       | 0.2684       |             | 1.3176   | 0.418  
144    | 5.6482     | 0.6746     | 4.4122     | 0.4789     | 0.0826     | 0.1528       | 0.2899       |             | 1.2724   | 0.443  
145    | 5.5871     | 0.6805     | 4.3490     | 0.4732     | 0.0844     | 0.1695       | 0.3480       |             | 1.1926   | 0.518  
146    | 5.5883     | 0.7142     | 4.3337     | 0.4597     | 0.0806     | 0.1695       | 0.2923       |             | 1.2085   | 0.462  
147    | 5.4512     | 0.6116     | 4.2959     | 0.4637     | 0.0800     | 0.1963       | 0.2405       |             | 1.2316   | 0.437  
148    | 5.3207     | 0.6256     | 4.1806     | 0.4366     | 0.0779     | 0.1369       | 0.2418       |             | 1.2503   | 0.379  
149    | 5.3820     | 0.6189     | 4.2402     | 0.4430     | 0.0799     | 0.1910       | 0.2340       |             | 1.2485   | 0.425  
150    | 5.5565     | 0.6464     | 4.3568     | 0.4715     | 0.0818     | 0.1708       | 0.2512       |             | 1.3077   | 0.422  
151    | 5.8596     | 0.6901     | 4.6264     | 0.4595     | 0.0835     | 0.1848       | 0.2784       |             | 1.3955   | 0.463  
152    | 5.5819     | 0.6765     | 4.3683     | 0.4573     | 0.0798     | 0.1774       | 0.2616       |             | 1.3557   | 0.439  
153    | 5.6755     | 0.6747     | 4.4558     | 0.4645     | 0.0805     | 0.1722       | 0.2999       |             | 1.2747   | 0.472  
154    | 5.6685     | 0.6212     | 4.5085     | 0.4559     | 0.0829     | 0.1821       | 0.2941       |             | 1.1749   | 0.476  
155    | 5.6774     | 0.6563     | 4.4851     | 0.4542     | 0.0818     | 0.1728       | 0.2630       |             | 1.2309   | 0.436  
156    | 5.5070     | 0.6432     | 4.3253     | 0.4579     | 0.0806     | 0.1891       | 0.2669       |             | 1.2197   | 0.456  
157    | 5.4377     | 0.6313     | 4.2919     | 0.4355     | 0.0789     | 0.1601       | 0.2403       |             | 1.2171   | 0.400  
158    | 5.5144     | 0.6653     | 4.3404     | 0.4333     | 0.0755     | 0.1900       | 0.2715       |             | 1.2889   | 0.461  
159    | 5.5777     | 0.6922     | 4.3613     | 0.4451     | 0.0791     | 0.1832       | 0.2479       |             | 1.2215   | 0.431  
160    | 5.5312     | 0.7014     | 4.3174     | 0.4320     | 0.0804     | 0.1516       | 0.2490       |             | 1.2748   | 0.401  
161    | 5.7053     | 0.6497     | 4.5316     | 0.4444     | 0.0797     | 0.1867       | 0.2619       |             | 1.2552   | 0.449  
162    | 5.6009     | 0.6466     | 4.4289     | 0.4447     | 0.0807     | 0.1992       | 0.2459       |             | 1.3103   | 0.445  
163    | 5.5794     | 0.6713     | 4.3869     | 0.4417     | 0.0794     | 0.1675       | 0.2434       |             | 1.3011   | 0.411  
164    | 5.4876     | 0.6824     | 4.2777     | 0.4463     | 0.0812     | 0.1679       | 0.2515       |             | 1.2495   | 0.419  
165    | 5.6669     | 0.6790     | 4.4614     | 0.4462     | 0.0803     | 0.1544       | 0.2565       |             | 1.2415   | 0.411  
166    | 5.6916     | 0.7304     | 4.4329     | 0.4474     | 0.0809     | 0.1770       | 0.2970       |             | 1.3152   | 0.474  
167    | 5.7302     | 0.6747     | 4.5107     | 0.4619     | 0.0829     | 0.1300       | 0.2686       |             | 1.2921   | 0.399  
168    | 5.6550     | 0.6682     | 4.4475     | 0.4575     | 0.0819     | 0.1907       | 0.2840       |             | 1.2797   | 0.475  
169    | 5.6976     | 0.6380     | 4.5064     | 0.4689     | 0.0843     | 0.1487       | 0.2857       |             | 1.2309   | 0.434  
170    | 5.6328     | 0.6547     | 4.4403     | 0.4589     | 0.0788     | 0.1807       | 0.3000       |             | 1.2568   | 0.481  
171    | 5.6079     | 0.6572     | 4.4060     | 0.4641     | 0.0807     | 0.1628       | 0.2976       |             | 1.3198   | 0.460  
172    | 5.3504     | 0.6065     | 4.2359     | 0.4253     | 0.0827     | 0.1673       | 0.2784       |             | 1.2625   | 0.446  
173    | 5.5939     | 0.6105     | 4.4735     | 0.4275     | 0.0823     | 0.1894       | 0.2580       |             | 1.2002   | 0.447  
174    | 5.3567     | 0.5979     | 4.2566     | 0.4209     | 0.0814     | 0.1675       | 0.2579       |             | 1.3385   | 0.425  
175    | 5.4878     | 0.6835     | 4.2947     | 0.4241     | 0.0855     | 0.1884       | 0.2691       |             | 1.3390   | 0.458  
176    | 5.5410     | 0.6401     | 4.3691     | 0.4444     | 0.0873     | 0.1923       | 0.3050       |             | 1.3841   | 0.497  
177    | 5.7479     | 0.7033     | 4.5117     | 0.4412     | 0.0917     | 0.1642       | 0.2629       |             | 1.2853   | 0.427  
178    | 5.5954     | 0.6163     | 4.4662     | 0.4281     | 0.0848     | 0.1895       | 0.2978       |             | 1.3460   | 0.487  
179    | 5.8343     | 0.6411     | 4.6625     | 0.4441     | 0.0865     | 0.1699       | 0.2903       |             | 1.3110   | 0.460  
180    | 6.0146     | 0.6916     | 4.7911     | 0.4417     | 0.0903     | 0.1657       | 0.2765       |             | 1.4140   | 0.442  
181    | 5.9423     | 0.7130     | 4.6987     | 0.4434     | 0.0872     | 0.1878       | 0.3123       |             | 1.3788   | 0.500  
182    | 6.1897     | 0.7564     | 4.8787     | 0.4551     | 0.0995     | 0.1729       | 0.2783       |             | 1.3151   | 0.451  
