Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
139    | 5.0025     | 0.3758     | 4.2445     | 0.2886     | 0.0936     | 0.0833       | 0.1041       | (saved)     | 0.8043   | 0.187  
140    | 4.9792     | 0.4055     | 4.1864     | 0.2949     | 0.0923     | 0.0792       | 0.0896       | (saved)     | 0.8089   | 0.169  
141    | 5.0341     | 0.3961     | 4.2475     | 0.2956     | 0.0949     | 0.1009       | 0.0964       |             | 0.8338   | 0.197  
142    | 5.1737     | 0.4097     | 4.3610     | 0.3057     | 0.0973     | 0.0986       | 0.0844       |             | 0.8281   | 0.183  
143    | 5.1609     | 0.4425     | 4.3163     | 0.3033     | 0.0987     | 0.1067       | 0.0997       |             | 0.8351   | 0.206  
144    | 5.1732     | 0.3671     | 4.3810     | 0.3241     | 0.1011     | 0.1087       | 0.1081       |             | 0.8409   | 0.217  
145    | 5.0252     | 0.3781     | 4.2515     | 0.2950     | 0.1006     | 0.1279       | 0.1083       |             | 0.8312   | 0.236  
146    | 5.1524     | 0.3960     | 4.3589     | 0.3012     | 0.0963     | 0.0829       | 0.1249       |             | 0.8304   | 0.208  
147    | 5.1886     | 0.3678     | 4.4118     | 0.3069     | 0.1022     | 0.0949       | 0.1034       |             | 0.8616   | 0.198  
148    | 5.2437     | 0.3609     | 4.4755     | 0.3044     | 0.1029     | 0.0828       | 0.1078       |             | 0.8415   | 0.191  
149    | 5.1919     | 0.4018     | 4.3909     | 0.2985     | 0.1007     | 0.0773       | 0.1279       |             | 0.8351   | 0.205  
150    | 5.2241     | 0.4118     | 4.3890     | 0.3170     | 0.1062     | 0.0870       | 0.1114       |             | 0.8069   | 0.198  
151    | 5.1647     | 0.3945     | 4.3636     | 0.3077     | 0.0990     | 0.0961       | 0.1076       |             | 0.8213   | 0.204  
152    | 5.0600     | 0.3638     | 4.2976     | 0.3002     | 0.0984     | 0.0905       | 0.1174       |             | 0.7949   | 0.208  
153    | 5.0835     | 0.3563     | 4.3399     | 0.2877     | 0.0996     | 0.0984       | 0.1044       |             | 0.8407   | 0.203  
154    | 5.3008     | 0.4371     | 4.4756     | 0.2860     | 0.1022     | 0.1082       | 0.1115       |             | 0.8353   | 0.220  
155    | 5.0938     | 0.4027     | 4.2985     | 0.2929     | 0.0998     | 0.0975       | 0.0983       |             | 0.8578   | 0.196  
156    | 5.1734     | 0.3735     | 4.3993     | 0.2979     | 0.1026     | 0.1224       | 0.1259       |             | 0.8591   | 0.248  
157    | 5.1004     | 0.3671     | 4.3362     | 0.2941     | 0.1030     | 0.1277       | 0.1012       |             | 0.8468   | 0.229  
158    | 5.3990     | 0.4280     | 4.5789     | 0.2891     | 0.1031     | 0.1103       | 0.1147       |             | 0.8665   | 0.225  
159    | 5.2252     | 0.4085     | 4.4254     | 0.2877     | 0.1036     | 0.1024       | 0.0876       |             | 0.8767   | 0.190  
160    | 5.1462     | 0.3751     | 4.3863     | 0.2801     | 0.1047     | 0.0932       | 0.0975       |             | 0.8599   | 0.191  
161    | 5.2489     | 0.4284     | 4.4082     | 0.3052     | 0.1071     | 0.1082       | 0.0870       |             | 0.8720   | 0.195  
162    | 5.0077     | 0.3871     | 4.2374     | 0.2752     | 0.1080     | 0.1097       | 0.0794       |             | 0.8467   | 0.189  
163    | 5.1531     | 0.4064     | 4.3669     | 0.2776     | 0.1022     | 0.1219       | 0.0828       |             | 0.8511   | 0.205  
164    | 5.1520     | 0.3686     | 4.3891     | 0.2873     | 0.1070     | 0.0999       | 0.0956       |             | 0.8597   | 0.195  
165    | 5.1319     | 0.3726     | 4.3661     | 0.2886     | 0.1046     | 0.1229       | 0.0847       |             | 0.8499   | 0.208  
166    | 5.3269     | 0.3932     | 4.5184     | 0.3071     | 0.1081     | 0.1107       | 0.0770       |             | 0.8618   | 0.188  
167    | 5.1286     | 0.3587     | 4.3940     | 0.2715     | 0.1044     | 0.1102       | 0.0834       |             | 0.8510   | 0.194  
168    | 5.2450     | 0.3650     | 4.4769     | 0.3000     | 0.1031     | 0.1200       | 0.1083       |             | 0.8814   | 0.228  
169    | 5.4672     | 0.4022     | 4.6581     | 0.2990     | 0.1079     | 0.1117       | 0.0968       |             | 0.8833   | 0.209  
170    | 5.3787     | 0.3897     | 4.6075     | 0.2806     | 0.1010     | 0.0992       | 0.0852       |             | 0.8612   | 0.184  
171    | 5.1943     | 0.3764     | 4.4661     | 0.2553     | 0.0965     | 0.0937       | 0.0854       |             | 0.8418   | 0.179  
172    | 5.2152     | 0.3517     | 4.4783     | 0.2831     | 0.1022     | 0.1115       | 0.0805       |             | 0.8512   | 0.192  
173    | 5.1586     | 0.4123     | 4.3841     | 0.2633     | 0.0989     | 0.1069       | 0.0717       |             | 0.8551   | 0.179  
174    | 5.2672     | 0.3973     | 4.4800     | 0.2860     | 0.1040     | 0.1129       | 0.0730       |             | 0.8541   | 0.186  
175    | 5.1871     | 0.3723     | 4.4337     | 0.2734     | 0.1077     | 0.1168       | 0.0863       |             | 0.8663   | 0.203  
176    | 5.1876     | 0.3829     | 4.4449     | 0.2590     | 0.1009     | 0.0951       | 0.0956       |             | 0.8594   | 0.191  
177    | 5.1809     | 0.3932     | 4.4095     | 0.2740     | 0.1042     | 0.1213       | 0.0866       |             | 0.8488   | 0.208  
178    | 5.3548     | 0.4063     | 4.5775     | 0.2694     | 0.1017     | 0.1108       | 0.0639       |             | 0.8340   | 0.175  
179    | 5.2322     | 0.3691     | 4.4865     | 0.2720     | 0.1046     | 0.1092       | 0.0927       |             | 0.8557   | 0.202  
180    | 5.2181     | 0.4029     | 4.4407     | 0.2709     | 0.1036     | 0.0858       | 0.0879       |             | 0.8814   | 0.174  
181    | 5.2626     | 0.3486     | 4.5145     | 0.2950     | 0.1045     | 0.1070       | 0.0997       |             | 0.8632   | 0.207  
182    | 5.3995     | 0.3772     | 4.6461     | 0.2728     | 0.1034     | 0.0801       | 0.0747       | (saved)     | 0.8718   | 0.155  
183    | 5.2934     | 0.4135     | 4.4877     | 0.2850     | 0.1072     | 0.0872       | 0.0936       |             | 0.8851   | 0.181  
184    | 5.2298     | 0.4332     | 4.4243     | 0.2702     | 0.1022     | 0.0834       | 0.0787       |             | 0.8597   | 0.162  
