Mode: Fusion | Features: RSSI(4) + RTT(1)
Model Input Dimension: 5
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
136    | 5.8458     | 0.6884     | 4.6366     | 0.4604     | 0.0604     | 0.1366       | 0.2824       | (saved)     | 1.3442   | 0.419  
137    | 5.8091     | 0.6041     | 4.6644     | 0.4772     | 0.0634     | 0.1357       | 0.2697       | (saved)     | 1.3384   | 0.405  
138    | 5.6701     | 0.6268     | 4.5282     | 0.4536     | 0.0615     | 0.1425       | 0.2731       |             | 1.3512   | 0.416  
139    | 5.6556     | 0.6173     | 4.5482     | 0.4302     | 0.0599     | 0.1835       | 0.2650       |             | 1.4426   | 0.448  
140    | 5.7759     | 0.6288     | 4.6352     | 0.4488     | 0.0631     | 0.2418       | 0.2770       |             | 1.4476   | 0.519  
141    | 5.6904     | 0.6455     | 4.5340     | 0.4467     | 0.0642     | 0.1549       | 0.2824       |             | 1.3187   | 0.437  
142    | 5.7851     | 0.7065     | 4.5607     | 0.4510     | 0.0669     | 0.1358       | 0.2772       |             | 1.3346   | 0.413  
143    | 5.6617     | 0.6305     | 4.5079     | 0.4565     | 0.0668     | 0.1572       | 0.2893       |             | 1.3355   | 0.447  
144    | 5.5770     | 0.5987     | 4.4729     | 0.4428     | 0.0627     | 0.1535       | 0.3149       |             | 1.3729   | 0.468  
145    | 5.7914     | 0.6493     | 4.6344     | 0.4435     | 0.0642     | 0.1516       | 0.3753       |             | 1.5182   | 0.527  
146    | 5.7696     | 0.6336     | 4.6333     | 0.4388     | 0.0640     | 0.1409       | 0.2591       | (saved)     | 1.3932   | 0.400  
147    | 5.8446     | 0.6541     | 4.6884     | 0.4383     | 0.0637     | 0.1375       | 0.2514       | (saved)     | 1.2974   | 0.389  
148    | 6.0247     | 0.6371     | 4.8607     | 0.4620     | 0.0649     | 0.1402       | 0.2698       |             | 1.4099   | 0.410  
149    | 6.0819     | 0.6178     | 4.9492     | 0.4532     | 0.0617     | 0.1426       | 0.2819       |             | 1.3445   | 0.425  
150    | 5.9482     | 0.6723     | 4.7663     | 0.4485     | 0.0612     | 0.1391       | 0.2679       |             | 1.3561   | 0.407  
151    | 5.9673     | 0.6343     | 4.8227     | 0.4484     | 0.0619     | 0.1469       | 0.3078       |             | 1.3320   | 0.455  
152    | 5.9738     | 0.6763     | 4.7784     | 0.4542     | 0.0648     | 0.1140       | 0.3151       |             | 1.3477   | 0.429  
153    | 5.9388     | 0.6169     | 4.7915     | 0.4666     | 0.0638     | 0.1415       | 0.3102       |             | 1.2880   | 0.452  
154    | 5.8888     | 0.5916     | 4.7924     | 0.4386     | 0.0662     | 0.1279       | 0.2684       |             | 1.3316   | 0.396  
155    | 5.9222     | 0.5888     | 4.8178     | 0.4506     | 0.0649     | 0.1370       | 0.2945       |             | 1.2376   | 0.431  
156    | 6.0688     | 0.6111     | 4.9562     | 0.4392     | 0.0623     | 0.1611       | 0.3342       |             | 1.4006   | 0.495  
157    | 5.8993     | 0.6198     | 4.7886     | 0.4283     | 0.0625     | 0.1703       | 0.2852       |             | 1.2420   | 0.455  
158    | 5.8816     | 0.5709     | 4.8167     | 0.4327     | 0.0613     | 0.1251       | 0.2976       |             | 1.2912   | 0.423  
159    | 5.8783     | 0.6341     | 4.7683     | 0.4118     | 0.0640     | 0.1354       | 0.2445       | (saved)     | 1.2900   | 0.380  
160    | 5.9810     | 0.6114     | 4.8948     | 0.4162     | 0.0586     | 0.1357       | 0.2766       |             | 1.2846   | 0.412  
161    | 6.0209     | 0.5511     | 4.9690     | 0.4441     | 0.0567     | 0.1203       | 0.2654       |             | 1.2963   | 0.386  
162    | 5.9420     | 0.5923     | 4.8654     | 0.4279     | 0.0564     | 0.1346       | 0.2653       |             | 1.2882   | 0.400  
163    | 5.9997     | 0.6523     | 4.8779     | 0.4125     | 0.0569     | 0.1333       | 0.2793       |             | 1.2741   | 0.413  
164    | 6.0279     | 0.6190     | 4.9114     | 0.4403     | 0.0572     | 0.1435       | 0.2590       |             | 1.3049   | 0.403  
165    | 6.0394     | 0.6264     | 4.9115     | 0.4401     | 0.0613     | 0.1588       | 0.2863       |             | 1.3247   | 0.445  
166    | 5.9236     | 0.6541     | 4.7713     | 0.4392     | 0.0590     | 0.1751       | 0.2833       |             | 1.3885   | 0.458  
167    | 6.0330     | 0.6745     | 4.8681     | 0.4338     | 0.0566     | 0.1549       | 0.2801       |             | 1.2507   | 0.435  
168    | 5.8583     | 0.6233     | 4.7538     | 0.4247     | 0.0564     | 0.1525       | 0.2649       |             | 1.2819   | 0.417  
169    | 5.9189     | 0.6251     | 4.8001     | 0.4389     | 0.0548     | 0.1410       | 0.2635       |             | 1.2782   | 0.404  
170    | 5.8489     | 0.6330     | 4.7239     | 0.4338     | 0.0582     | 0.1573       | 0.2574       |             | 1.3899   | 0.415  
171    | 5.9741     | 0.6369     | 4.8611     | 0.4199     | 0.0562     | 0.1531       | 0.2848       |             | 1.3807   | 0.438  
172    | 5.8767     | 0.5977     | 4.8086     | 0.4190     | 0.0514     | 0.1310       | 0.2494       |             | 1.3511   | 0.380  
173    | 5.8854     | 0.6494     | 4.7869     | 0.3974     | 0.0516     | 0.1875       | 0.2671       |             | 1.3541   | 0.455  
174    | 5.8321     | 0.5864     | 4.7706     | 0.4231     | 0.0520     | 0.1562       | 0.2751       |             | 1.4475   | 0.431  
175    | 5.8480     | 0.6154     | 4.7599     | 0.4198     | 0.0529     | 0.1604       | 0.2818       |             | 1.3872   | 0.442  
176    | 5.9372     | 0.5971     | 4.8523     | 0.4344     | 0.0534     | 0.1572       | 0.2869       |             | 1.2959   | 0.444  
177    | 5.7744     | 0.6209     | 4.7084     | 0.3918     | 0.0533     | 0.1415       | 0.2362       | (saved)     | 1.3315   | 0.378  
178    | 5.7861     | 0.5725     | 4.7652     | 0.3967     | 0.0517     | 0.1428       | 0.2280       | (saved)     | 1.3359   | 0.371  
179    | 6.2115     | 0.6423     | 5.0920     | 0.4206     | 0.0566     | 0.1878       | 0.2396       |             | 1.4370   | 0.427  
180    | 6.0962     | 0.6152     | 5.0030     | 0.4228     | 0.0552     | 0.2088       | 0.2901       |             | 1.5255   | 0.499  
181    | 6.1683     | 0.6840     | 4.9877     | 0.4413     | 0.0553     | 0.1666       | 0.2693       |             | 1.4903   | 0.436  
182    | 5.9355     | 0.6576     | 4.8004     | 0.4241     | 0.0534     | 0.1542       | 0.2496       |             | 1.3265   | 0.404  
183    | 5.9264     | 0.6684     | 4.7887     | 0.4146     | 0.0547     | 0.1557       | 0.2624       |             | 1.3945   | 0.418  
184    | 5.8155     | 0.6307     | 4.7358     | 0.3993     | 0.0497     | 0.1495       | 0.2565       |             | 1.3666   | 0.406  
185    | 5.8392     | 0.6243     | 4.7724     | 0.3906     | 0.0518     | 0.1591       | 0.2543       |             | 1.3790   | 0.413  
186    | 6.0778     | 0.5931     | 5.0341     | 0.4007     | 0.0498     | 0.1689       | 0.2386       |             | 1.3677   | 0.408  
187    | 6.0663     | 0.6234     | 4.9735     | 0.4182     | 0.0512     | 0.1292       | 0.2789       |             | 1.3854   | 0.408  
188    | 5.9049     | 0.6128     | 4.8237     | 0.4173     | 0.0510     | 0.1360       | 0.2617       |             | 1.3238   | 0.398  
