Mode: Fusion | Features: RSSI(4) + RTT(2)
Model Input Dimension: 6
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
160    | 5.4070     | 0.5442     | 4.3895     | 0.3718     | 0.1015     | 0.1941       | 0.2186       |             | 1.1648   | 0.413  
161    | 5.2219     | 0.4673     | 4.2771     | 0.3763     | 0.1012     | 0.1640       | 0.2149       |             | 1.1651   | 0.379  
162    | 5.2269     | 0.4932     | 4.2555     | 0.3776     | 0.1006     | 0.1826       | 0.2227       |             | 1.1727   | 0.405  
163    | 5.3360     | 0.5039     | 4.3581     | 0.3728     | 0.1011     | 0.1710       | 0.2180       |             | 1.1501   | 0.389  
164    | 5.7012     | 0.5318     | 4.6524     | 0.4095     | 0.1075     | 0.1870       | 0.2320       |             | 1.1384   | 0.419  
165    | 5.3996     | 0.5053     | 4.3960     | 0.3910     | 0.1073     | 0.1608       | 0.2322       |             | 1.1457   | 0.393  
166    | 5.4562     | 0.5503     | 4.4121     | 0.3859     | 0.1079     | 0.1421       | 0.2167       |             | 1.2550   | 0.359  
167    | 5.5563     | 0.5376     | 4.5249     | 0.3881     | 0.1056     | 0.1732       | 0.2324       |             | 1.3085   | 0.406  
168    | 5.3391     | 0.5011     | 4.3514     | 0.3834     | 0.1032     | 0.1279       | 0.2356       |             | 1.2355   | 0.364  
169    | 5.5503     | 0.5497     | 4.5108     | 0.3889     | 0.1010     | 0.1774       | 0.2383       |             | 1.2109   | 0.416  
170    | 5.4174     | 0.5170     | 4.4050     | 0.3918     | 0.1036     | 0.1863       | 0.2275       |             | 1.1799   | 0.414  
171    | 5.4136     | 0.4813     | 4.4513     | 0.3805     | 0.1005     | 0.1793       | 0.2217       |             | 1.2069   | 0.401  
172    | 5.6363     | 0.5443     | 4.6055     | 0.3837     | 0.1028     | 0.2068       | 0.2514       |             | 1.2781   | 0.458  
173    | 5.4805     | 0.5362     | 4.4614     | 0.3762     | 0.1067     | 0.1795       | 0.2099       |             | 1.2689   | 0.389  
