Mode: Fusion | Features: RSSI(4) + RTT(3)
Model Input Dimension: 7
cuda
Start Training Seed 42...
Epoch  | Total Loss | l_sc       | l_dc       | l_tc       | l_ca       | val_l_sc     | val_l_dc     | Save        | Test MDE | Score  
177    | 2.6975     | 0.3895     | 1.9496     | 0.3156     | 0.0427     | 0.1006       | 0.1391       |             | 1.0427   | 0.240  
178    | 2.6653     | 0.3791     | 1.9257     | 0.3120     | 0.0484     | 0.0903       | 0.1293       | (saved)     | 0.9871   | 0.220  
179    | 2.6547     | 0.3608     | 1.9414     | 0.3110     | 0.0416     | 0.0856       | 0.1604       |             | 1.0154   | 0.246  
180    | 2.6055     | 0.4038     | 1.8662     | 0.3001     | 0.0355     | 0.0820       | 0.1412       |             | 1.0374   | 0.223  
181    | 2.5526     | 0.3728     | 1.8640     | 0.2790     | 0.0368     | 0.0861       | 0.1415       |             | 1.0215   | 0.228  
182    | 2.5290     | 0.3631     | 1.8389     | 0.2922     | 0.0349     | 0.0840       | 0.1111       | (saved)     | 1.0329   | 0.195  
183    | 2.4444     | 0.3389     | 1.8062     | 0.2621     | 0.0371     | 0.0811       | 0.1274       |             | 1.0157   | 0.209  
184    | 2.4248     | 0.3446     | 1.7862     | 0.2640     | 0.0300     | 0.0927       | 0.1374       |             | 1.0489   | 0.230  
185    | 2.4759     | 0.3046     | 1.8467     | 0.2915     | 0.0330     | 0.1177       | 0.1186       |             | 1.0075   | 0.236  
186    | 2.4406     | 0.3186     | 1.8143     | 0.2773     | 0.0304     | 0.0949       | 0.1220       |             | 0.9718   | 0.217  
187    | 2.5576     | 0.3562     | 1.8824     | 0.2807     | 0.0382     | 0.1046       | 0.1187       |             | 1.0280   | 0.223  
188    | 2.5224     | 0.3382     | 1.8602     | 0.2864     | 0.0376     | 0.1049       | 0.1308       |             | 1.0544   | 0.236  
189    | 2.5101     | 0.3429     | 1.8471     | 0.2822     | 0.0378     | 0.1163       | 0.1249       |             | 1.0434   | 0.241  
190    | 2.3464     | 0.3400     | 1.7131     | 0.2692     | 0.0242     | 0.0981       | 0.1371       |             | 1.0576   | 0.235  
191    | 2.5083     | 0.3478     | 1.8521     | 0.2791     | 0.0293     | 0.1297       | 0.1265       |             | 1.0410   | 0.256  
192    | 2.4661     | 0.3360     | 1.8240     | 0.2762     | 0.0299     | 0.1192       | 0.1278       |             | 1.0299   | 0.247  
193    | 2.4774     | 0.3661     | 1.8072     | 0.2762     | 0.0279     | 0.1124       | 0.0958       |             | 1.0791   | 0.208  
194    | 2.5255     | 0.3797     | 1.8379     | 0.2759     | 0.0320     | 0.1222       | 0.1173       |             | 1.0866   | 0.240  
195    | 2.4831     | 0.3374     | 1.8151     | 0.2861     | 0.0445     | 0.0929       | 0.1159       |             | 1.0628   | 0.209  
196    | 2.3997     | 0.3221     | 1.7683     | 0.2749     | 0.0344     | 0.1010       | 0.1486       |             | 1.0593   | 0.250  
