timeStemp,Label,Dist_mm_1,Dist_mm_2,Dist_mm_3,Dist_mm_4,RSSI_1,RSSI_2,RSSI_3,RSSI_4,Std_mm_1,Std_mm_2,Std_mm_3,Std_mm_4,SSID_1,BSSID_1,Succ_1,Att_1,Rate_1,SSID_2,BSSID_2,Succ_2,Att_2,Rate_2,SSID_3,BSSID_3,Succ_3,Att_3,Rate_3,SSID_4,BSSID_4,Succ_4,Att_4,Rate_4
667190863,1-11,477.0,7152.0,3753.0,7386.0,-57.0,-68.0,-61.0,-58.0,299.0,564.0,507.0,721.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667183994,1-11,1063.0,7269.0,3753.0,7347.0,-59.0,-68.0,-50.0,-55.0,1085.0,507.0,484.0,825.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667184188,1-11,577.0,7269.0,3792.0,7425.0,-56.0,-68.0,-59.0,-60.0,261.0,498.0,446.0,756.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667188139,1-11,399.0,7230.0,3753.0,7347.0,-52.0,-68.0,-58.0,-55.0,353.0,520.0,520.0,734.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667184351,1-11,574.0,7269.0,3675.0,7347.0,-57.0,-68.0,-48.0,-53.0,234.0,503.0,498.0,719.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667185492,1-11,399.0,7269.0,3792.0,7425.0,-57.0,-68.0,-57.0,-59.0,384.0,516.0,485.0,493.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667187937,1-11,487.0,7269.0,3753.0,7347.0,-57.0,-67.0,-60.0,-59.0,334.0,498.0,513.0,523.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667191078,1-11,428.0,7230.0,3841.0,7425.0,-57.0,-68.0,-60.0,-59.0,403.0,714.0,428.0,617.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667190495,1-11,457.0,7347.0,3714.0,7386.0,-57.0,-68.0,-60.0,-60.0,265.0,476.0,529.0,674.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667188275,1-11,399.0,7269.0,3714.0,7347.0,-57.0,-68.0,-58.0,-59.0,317.0,527.0,458.0,695.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
667185253,1-11,399.0,7230.0,3753.0,7386.0,-57.0,-68.0,-59.0,-59.0,379.0,493.0,463.0,634.0,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5,MCSLab RTT AP3,b0:e4:d5:88:16:86,7.0,8.0,87.5
