Position_ID,Label,Pos_X,Pos_Y,RSSI_Single,RSSI_Full,Diff_RSSI,Dist_mm_Single,Dist_mm_Full,Diff_RTT
Pos2,11-2,-0.60,6.00,-43.80,-51.06,-7.26,-876.64,-931.70,-55.06
Pos2,11-3,-1.20,6.00,-52.39,-57.68,-5.29,-294.55,1083.99,1378.54
Pos2,11-4,-1.80,6.00,-45.98,-52.83,-6.85,416.36,517.92,101.56
Pos2,11-5,-2.40,6.00,-46.50,-53.67,-7.17,935.17,914.74,-20.44
Pos2,11-6,-3.00,6.00,-55.50,-53.17,2.34,1281.45,1374.01,92.56
Pos2,11-7,-3.60,6.00,-50.03,-60.38,-10.35,1347.01,1504.79,157.79
Pos2,11-8,-4.20,6.00,-57.27,-59.60,-2.34,1994.91,2028.75,33.84
Pos2,11-9,-4.80,6.00,-53.73,-63.39,-9.66,2265.93,4777.56,2511.64
Pos2,2-1,0.00,0.60,-64.95,-60.08,4.87,5016.05,6178.29,1162.24
Pos2,2-11,-6.00,0.60,-67.94,-73.29,-5.35,7160.06,6743.23,-416.83
Pos2,3-1,0.00,1.20,-62.26,-66.43,-4.17,4374.98,4799.79,424.81
Pos2,3-11,-6.00,1.20,-64.92,-64.17,0.75,6502.13,6922.53,420.40
Pos2,4-1,0.00,1.80,-64.19,-64.98,-0.79,4688.88,4707.74,18.86
Pos2,4-11,-6.00,1.80,-69.18,-65.79,3.39,5972.55,6639.64,667.09
Pos2,5-1,0.00,2.40,-66.51,-64.97,1.54,4136.42,3703.15,-433.27
Pos2,5-11,-6.00,2.40,-63.74,-69.21,-5.47,5943.88,6345.06,401.19
Pos2,6-1,0.00,3.00,-65.59,-65.38,0.21,3211.38,3255.88,44.49
Pos2,6-10,-5.40,3.00,-65.51,-65.53,-0.02,6199.32,7057.85,858.53
Pos2,6-11,-6.00,3.00,-59.95,-63.20,-3.25,5753.50,5297.43,-456.07
Pos2,6-2,-0.60,3.00,-66.86,-62.35,4.51,3380.25,3916.22,535.97
Pos2,6-3,-1.20,3.00,-59.88,-65.14,-5.27,2338.36,3473.23,1134.87
Pos2,6-4,-1.80,3.00,-64.51,-62.50,2.01,3758.45,3851.49,93.04
Pos2,6-5,-2.40,3.00,-54.90,-59.19,-4.29,3520.05,3395.01,-125.04
Pos2,6-6,-3.00,3.00,-56.28,-61.00,-4.72,3780.83,3578.30,-202.53
Pos2,6-7,-3.60,3.00,-59.38,-64.17,-4.78,4692.54,5078.91,386.37
Pos2,6-8,-4.20,3.00,-55.91,-61.01,-5.10,4656.19,4862.56,206.37
Pos2,6-9,-4.80,3.00,-60.10,-58.38,1.72,5381.86,7447.91,2066.05
Pos2,7-1,0.00,3.60,-65.03,-63.87,1.15,2708.09,3162.93,454.84
Pos2,7-11,-6.00,3.60,-61.47,-65.54,-4.07,4520.43,6119.33,1598.90
Pos2,8-1,0.00,4.20,-57.96,-56.29,1.67,2297.43,2143.03,-154.39
Pos2,8-11,-6.00,4.20,-61.93,-65.22,-3.28,4726.43,4747.78,21.34
Pos2,9-1,0.00,4.80,-56.64,-57.54,-0.90,2018.98,2331.23,312.24
Pos2,9-11,-6.00,4.80,-55.85,-66.14,-10.29,4623.25,3856.02,-767.24
Pos3,1-1,0.00,0.00,-49.17,-52.41,-3.24,-235.58,-936.39,-700.81
Pos3,1-10,-5.40,0.00,-62.50,-60.89,1.61,3090.94,3250.66,159.72
Pos3,1-11,-6.00,0.00,-53.88,-62.52,-8.64,3729.31,3085.78,-643.53
Pos3,1-2,-0.60,0.00,-62.61,-50.45,12.15,-35.04,-951.77,-916.73
Pos3,1-3,-1.20,0.00,-44.09,-43.74,0.35,-599.77,-757.83,-158.06
Pos3,1-4,-1.80,0.00,-49.47,-46.52,2.95,-400.79,-653.96,-253.17
Pos3,1-5,-2.40,0.00,-60.33,-47.74,12.60,364.24,986.49,622.25
Pos3,1-6,-3.00,0.00,-52.60,-57.42,-4.82,1839.99,1114.73,-725.26
Pos3,1-7,-3.60,0.00,-50.74,-52.54,-1.80,1739.22,3546.59,1807.37
Pos3,1-8,-4.20,0.00,-52.06,-58.35,-6.29,2604.82,2163.30,-441.53
Pos3,1-9,-4.80,0.00,-54.49,-57.84,-3.35,2083.90,2440.28,356.38
Pos3,10-1,0.00,5.40,-54.77,-64.23,-9.45,2463.71,2108.00,-355.71
Pos3,10-11,-6.00,5.40,-64.46,-71.22,-6.76,6443.15,6349.74,-93.41
Pos3,11-1,0.00,6.00,-63.51,-66.25,-2.74,2846.99,3516.69,669.70
Pos3,11-10,-5.40,6.00,-64.53,-65.34,-0.80,6612.73,8528.06,1915.34
Pos3,11-11,-6.00,6.00,-61.60,-61.51,0.09,6350.50,6395.86,45.36
Pos3,11-2,-0.60,6.00,-65.91,-65.24,0.67,3895.37,4177.20,281.83
Pos3,11-3,-1.20,6.00,-62.52,-67.76,-5.25,6296.10,3884.68,-2411.42
Pos3,11-4,-1.80,6.00,-64.05,-68.09,-4.04,4371.68,3774.34,-597.33
Pos3,11-5,-2.40,6.00,-61.31,-66.39,-5.08,4356.67,6379.23,2022.56
Pos3,11-6,-3.00,6.00,-65.63,-68.45,-2.82,5097.13,5960.18,863.05
Pos3,11-7,-3.60,6.00,-69.50,-61.96,7.55,4754.82,4706.43,-48.39
Pos3,11-8,-4.20,6.00,-64.93,-64.74,0.19,7819.05,5574.97,-2244.08
Pos3,11-9,-4.80,6.00,-63.93,-69.12,-5.19,6276.68,5334.62,-942.06
Pos3,2-1,0.00,0.60,-45.23,-52.34,-7.11,-1298.60,-1951.35,-652.75
Pos3,2-11,-6.00,0.60,-56.99,-59.61,-2.62,3824.87,4181.14,356.28
Pos3,3-1,0.00,1.20,-45.85,-40.31,5.54,-875.38,-1432.24,-556.86
Pos3,3-11,-6.00,1.20,-59.87,-69.16,-9.29,4388.88,6726.03,2337.16
Pos3,4-1,0.00,1.80,-49.58,-51.35,-1.77,-845.46,1249.80,2095.26
Pos3,4-11,-6.00,1.80,-66.83,-63.79,3.04,4804.29,3944.70,-859.59
Pos3,5-1,0.00,2.40,-46.58,-51.92,-5.34,-675.42,-398.17,277.25
Pos3,5-11,-6.00,2.40,-64.24,-61.06,3.18,5563.30,5367.85,-195.45
Pos3,6-1,0.00,3.00,-53.70,-60.35,-6.65,-186.96,99.81,286.77
Pos3,6-10,-5.40,3.00,-62.65,-60.86,1.79,5074.58,3785.82,-1288.77
Pos3,6-11,-6.00,3.00,-63.55,-63.70,-0.15,4903.57,5716.71,813.14
Pos3,6-2,-0.60,3.00,-52.62,-59.10,-6.48,143.50,176.21,32.71
Pos3,6-3,-1.20,3.00,-58.76,-55.03,3.72,-340.69,62.88,403.57
Pos3,6-4,-1.80,3.00,-52.23,-55.37,-3.14,1315.63,2667.57,1351.94
