AP_ID,Label,Pos_X,Pos_Y,RSSI_Base,RSSI_Comp,Shift_RSSI,Dist_mm_Base,Dist_mm_Comp,Shift_RTT
AP3,6-4,-1.80,3.00,-55.37,-55.64,-0.28,2667.57,592.13,-2075.45
AP3,6-5,-2.40,3.00,-54.33,-53.33,1.00,869.11,346.96,-522.15
AP3,6-6,-3.00,3.00,-58.62,-63.42,-4.80,2709.45,1286.60,-1422.86
AP3,6-7,-3.60,3.00,-56.68,-63.45,-6.77,2818.89,1588.38,-1230.51
AP3,6-8,-4.20,3.00,-59.65,-61.53,-1.87,3755.97,4675.14,919.16
AP3,6-9,-4.80,3.00,-62.57,-62.69,-0.12,3529.67,4598.17,1068.50
AP3,7-1,0.00,3.60,-56.33,-58.01,-1.68,277.13,1536.17,1259.04
AP3,7-11,-6.00,3.60,-63.65,-67.31,-3.67,5552.96,4664.67,-888.29
AP3,8-1,0.00,4.20,-53.13,-60.14,-7.01,1633.50,2932.61,1299.12
AP3,8-11,-6.00,4.20,-62.37,-64.47,-2.10,6569.21,4554.17,-2015.04
AP3,9-1,0.00,4.80,-58.11,-57.49,0.62,1693.21,2349.12,655.91
AP3,9-11,-6.00,4.80,-65.47,-62.71,2.76,4837.54,5252.44,414.91
AP4,1-1,0.00,0.00,-69.23,-67.58,1.65,9284.12,12786.28,3502.16
AP4,1-10,-5.40,0.00,-67.97,-61.54,6.44,6162.72,8549.98,2387.27
AP4,1-11,-6.00,0.00,-59.85,-53.52,6.33,6828.36,7458.78,630.42
AP4,1-2,-0.60,0.00,-66.53,-73.34,-6.80,10009.53,10404.92,395.39
AP4,1-3,-1.20,0.00,-74.90,-75.07,-0.17,10564.19,9438.49,-1125.70
AP4,1-4,-1.80,0.00,-71.06,-71.29,-0.23,9845.91,10293.08,447.17
AP4,1-5,-2.40,0.00,-63.29,-63.39,-0.10,10099.19,9927.47,-171.72
AP4,1-6,-3.00,0.00,-69.36,-65.61,3.76,8888.76,8596.24,-292.51
AP4,1-7,-3.60,0.00,-65.18,-67.39,-2.21,8255.47,10599.64,2344.17
AP4,1-8,-4.20,0.00,-67.90,-70.49,-2.59,10287.43,8954.76,-1332.67
AP4,1-9,-4.80,0.00,-66.43,-65.48,0.95,8851.72,7289.31,-1562.41
AP4,10-1,0.00,5.40,-56.04,-62.61,-6.57,6648.80,6539.40,-109.40
AP4,10-11,-6.00,5.40,-56.93,-51.95,4.98,1444.64,2705.02,1260.38
AP4,11-1,0.00,6.00,-62.63,-56.41,6.22,7206.74,13120.53,5913.79
AP4,11-10,-5.40,6.00,-52.30,-54.22,-1.92,1897.97,628.93,-1269.04
AP4,11-11,-6.00,6.00,-61.86,-57.80,4.05,2687.58,2200.49,-487.08
AP4,11-2,-0.60,6.00,-58.00,-61.57,-3.57,6184.43,7269.79,1085.36
AP4,11-3,-1.20,6.00,-61.53,-64.50,-2.97,5902.23,7450.00,1547.77
AP4,11-4,-1.80,6.00,-63.12,-63.64,-0.52,5181.94,4404.14,-777.81
AP4,11-5,-2.40,6.00,-54.46,-65.09,-10.63,6905.88,4667.54,-2238.34
AP4,11-6,-3.00,6.00,-58.96,-56.54,2.41,4155.43,3814.62,-340.81
AP4,11-7,-3.60,6.00,-57.88,-58.29,-0.41,4309.43,2787.23,-1522.21
