Timestamp,Label,SSID_1,BSSID_1,RSSI_1,Dist_mm_1,Std_mm_1,SSID_2,BSSID_2,RSSI_2,Dist_mm_2,Std_mm_2,SSID_3,BSSID_3,RSSI_3,Dist_mm_3,Std_mm_3,SSID_4,BSSID_4,RSSI_4,Dist_mm_4,Std_mm_4
1767084159327,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-63,3252,1541,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,10664,348,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1710,1374,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-70,10166,377
1767084159547,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-61,2939,1477,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,8994,742,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,-1397,1355,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10322,262
1767084159804,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,2900,1483,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,7314,1024,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,-1124,1223,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10596,151
1767084160031,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,2978,1436,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,6494,1414,MCSLab RTT AP3,b0:e4:d5:88:16:86,-48,-1241,1172,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,10644,952
1767084160215,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,2861,1632,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,6259,1399,MCSLab RTT AP3,b0:e4:d5:88:16:86,-50,-1397,1201,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,10478,144
1767084160447,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-60,2988,2223,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,8681,191,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,-2232,1969,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,10097,1300
1767084160642,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,2939,2437,MCSLab RTT AP2,24:29:34:e1:ef:d4,-60,7119,625,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,-1202,1142,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,10439,1143
1767084160851,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3134,1982,MCSLab RTT AP2,24:29:34:e1:ef:d4,-59,6611,448,MCSLab RTT AP3,b0:e4:d5:88:16:86,-48,-1212,1319,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,10117,1287
1767084161058,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-62,3291,1712,MCSLab RTT AP2,24:29:34:e1:ef:d4,-61,7119,729,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1241,1292,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,10381,1214
1767084161238,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,3173,1297,MCSLab RTT AP2,24:29:34:e1:ef:d4,-62,8252,591,MCSLab RTT AP3,b0:e4:d5:88:16:86,,,,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,10498,1047
1767084161463,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-59,3291,1271,MCSLab RTT AP2,24:29:34:e1:ef:d4,-66,8994,656,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1504,1389,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,10205,835
1767084161680,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,3134,1242,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,9580,168,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,-1553,1338,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-66,9980,759
1767084161858,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,3134,1216,MCSLab RTT AP2,24:29:34:e1:ef:d4,-64,9492,566,MCSLab RTT AP3,b0:e4:d5:88:16:86,-49,-645,1216,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-68,10351,165
1767084162065,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-57,3114,1221,MCSLab RTT AP2,24:29:34:e1:ef:d4,-63,9033,234,MCSLab RTT AP3,b0:e4:d5:88:16:86,-54,-1475,1379,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-67,10703,1032
1767084162279,1-2,MCSLab RTT AP1,24:29:34:e2:4c:36,-58,3095,1140,MCSLab RTT AP2,24:29:34:e1:ef:d4,-65,8759,362,MCSLab RTT AP3,b0:e4:d5:88:16:86,-52,-1553,1477,MCSLab RTT AP3,e4:5e:1b:a0:5e:85,-64,10791,894
